month,diesel,petrol,kerosene,usd_kes,cpi,inflation_yoy,maize_kg_wholesale,vegetable_oil_1l_retail,bread_400g_retail
2014-07,104.67,115.86,84.12,87.79,142.61,7.63,28.39,190.00,45.00
2014-08,102.98,116.62,83.05,88.17,145.53,8.29,25.94,160.00,44.00
2014-09,99.79,113.28,79.82,88.88,146.12,6.61,29.29,180.67,47.00
2014-10,96.61,109.95,76.59,89.22,145.90,6.49,26.12,201.33,50.00
2014-11,93.42,106.61,73.36,89.98,146.12,6.25,25.57,222.00,50.00
2014-12,90.23,103.28,70.13,90.47,146.45,6.20,26.39,220.00,50.00
2015-01,87.04,99.94,66.90,91.34,146.29,5.65,27.57,215.00,48.00
2015-02,83.86,96.60,63.67,91.50,146.16,5.61,25.48,208.00,48.00
2015-03,80.67,93.27,60.44,91.79,147.72,6.28,25.57,210.00,50.00
2015-04,77.48,89.93,57.21,93.43,146.45,6.98,32.77,205.00,50.00
2015-05,79.34,92.89,59.24,96.37,148.85,6.60,35.40,200.00,50.00
2015-06,84.56,98.59,62.74,97.76,150.91,6.86,35.56,190.00,50.00
2015-07,84.56,98.59,62.74,101.31,152.04,6.57,36.92,150.00,50.00
2015-08,84.30,103.50,58.94,102.50,154.03,5.78,38.20,160.00,50.00
2015-09,80.94,103.49,53.52,105.27,154.85,6.00,35.69,170.00,50.00
2015-10,80.13,99.01,53.44,102.63,155.70,6.87,33.18,180.00,50.00
2015-11,79.32,94.54,53.35,102.20,156.81,7.55,32.47,175.00,50.00
2015-12,78.51,90.06,53.27,102.21,158.19,8.22,31.77,181.00,50.00
2016-01,76.70,88.64,46.13,102.34,157.67,7.98,31.23,182.00,50.00
2016-02,67.88,86.50,39.62,101.93,156.52,7.09,31.09,183.00,52.00
2016-03,65.70,85.58,42.28,101.51,157.26,6.36,30.43,180.00,50.00
2016-04,67.21,81.61,44.94,101.28,154.18,5.02,31.05,182.50,49.00
2016-05,71.34,85.14,47.96,100.74,156.29,4.66,30.81,185.00,48.00
2016-06,74.69,87.07,59.01,101.17,159.67,5.63,32.18,185.00,48.00
2016-07,83.24,92.93,61.45,101.36,161.75,6.35,31.96,180.00,50.00
2016-08,84.51,95.13,62.48,101.42,163.67,6.29,29.96,178.67,50.00
2016-09,83.32,93.34,60.59,101.29,164.65,6.46,30.01,177.33,46.00
2016-10,82.12,91.56,58.71,101.36,165.76,6.67,32.59,176.00,45.00
2016-11,82.17,94.94,62.16,101.77,167.29,6.92,32.00,175.00,45.00
2016-12,87.20,94.20,63.56,102.26,168.23,6.54,31.80,172.00,45.00
2017-01,84.23,96.01,63.44,103.82,168.68,7.12,31.86,175.00,50.00
2017-02,89.26,100.27,63.75,103.58,170.66,9.02,40.52,180.00,50.00
2017-03,90.44,101.05,64.07,102.84,173.41,10.15,44.99,185.00,50.00
2017-04,88.62,98.00,64.38,103.32,171.87,11.16,45.00,190.00,50.00
2017-05,88.05,99.59,65.28,103.28,174.58,11.30,49.20,196.00,45.00
2017-06,86.26,98.34,65.42,103.50,174.38,9.03,56.00,198.00,45.00
2017-07,84.46,97.10,65.56,103.86,173.84,7.45,54.05,198.00,45.00
2017-08,85.86,96.08,63.42,103.55,176.83,8.19,45.58,191.50,45.00
2017-09,86.86,98.30,64.36,103.12,176.27,7.26,42.40,185.00,44.00
2017-10,82.12,91.56,58.71,103.48,175.25,5.96,37.74,185.00,44.00
2017-11,82.17,94.94,62.16,103.51,175.19,4.94,39.94,179.66,44.00
2017-12,87.22,94.20,63.56,103.08,175.81,4.64,40.73,182.50,44.00
2018-01,94.82,106.30,74.78,102.55,176.83,4.93,42.27,185.00,44.00
2018-02,96.96,107.92,76.75,101.39,178.28,4.38,36.86,184.67,45.00
2018-03,97.86,107.46,77.45,101.19,180.67,4.09,32.97,186.67,45.00
2018-04,97.86,106.83,76.72,100.59,178.28,3.37,32.81,188.67,44.00
2018-05,98.64,107.17,78.22,100.68,181.47,3.64,32.64,190.00,44.00
2018-06,103.60,108.81,84.24,101.00,181.84,4.18,32.52,191.45,44.00
2018-07,103.25,112.20,85.73,100.66,181.40,4.31,30.19,191.21,45.00
2018-08,102.74,113.73,84.95,100.62,183.98,4.26,28.00,190.97,45.00
2018-09,108.10,116.70,108.40,100.85,186.33,5.93,26.20,190.74,45.00
2018-10,109.72,115.73,108.84,101.11,184.94,5.72,22.17,190.50,45.00
2018-11,112.83,118.11,111.83,102.42,184.98,5.74,23.43,188.00,45.00
2018-12,112.28,113.54,105.22,102.22,185.83,5.79,24.46,187.66,45.00
2019-01,102.24,104.21,101.70,101.57,185.15,4.68,27.11,186.33,44.00
2019-02,95.96,100.09,96.50,100.20,185.67,4.04,27.08,188.50,44.00
2019-03,96.61,101.35,99.36,100.42,188.53,4.35,26.13,190.00,44.00
2019-04,102.13,106.60,102.22,101.11,190.01,6.25,31.30,191.33,44.00
2019-05,104.37,112.03,104.62,101.15,191.44,5.30,34.74,182.60,43.00
2019-06,104.72,115.05,104.26,101.72,192.20,5.64,26.85,182.00,43.00
2019-07,103.88,115.39,101.97,103.27,192.78,6.25,45.29,186.75,43.00
2019-08,100.60,112.53,103.95,103.34,193.17,5.22,37.71,185.00,43.00
2019-09,103.04,112.81,100.64,103.80,193.46,4.01,36.45,180.00,43.00
2019-10,101.96,108.05,101.08,103.67,194.10,5.05,41.26,182.50,43.00
2019-11,104.61,110.59,104.06,102.35,195.27,5.62,39.91,185.00,44.00
2019-12,101.78,109.50,102.31,101.47,196.66,5.82,38.34,190.00,44.00
2020-01,102.32,110.20,103.95,101.06,197.75,6.76,36.85,195.00,45.00
2020-02,104.45,112.87,90.61,100.85,198.98,7.11,36.64,198.00,45.00
2020-03,97.56,92.87,77.28,104.16,199.54,5.91,31.38,195.00,44.00
2020-04,91.37,92.87,77.28,106.42,201.43,5.75,34.66,181.75,43.00
2020-05,78.37,83.33,79.77,106.76,201.63,5.26,33.76,193.00,43.00
2020-06,74.57,89.10,62.46,106.44,201.02,4.55,32.86,185.00,44.00
2020-07,91.87,100.48,65.45,107.29,201.17,4.27,31.96,180.00,45.00
2020-08,94.63,103.95,83.65,108.16,201.58,4.54,42.45,137.00,43.00
2020-09,94.51,105.43,83.15,108.44,201.58,4.36,33.17,140.52,44.00
2020-10,92.91,107.27,83.73,108.73,203.49,4.87,33.97,144.05,44.00
2020-11,90.70,105.85,81.63,109.29,205.68,5.34,33.77,147.57,45.00
2020-12,91.82,106.82,83.56,110.48,207.71,5.59,33.77,156.62,45.00
